"id";"codigo_arancelario";"nivel";"c_n_code";"longitud_cn_code";"descripcion";"parent_id"
4157;"262100000080";3;"2621";4;"Las demás escorias y cenizas, incluidas las cenizas de algas; cenizas y residuos procedentes de la incineración de desechos municipales";4098
4158;"262110000080";4;"2621 10 00";10;- Cenizas y residuos procedentes de la incineración de desechos  municipales;4157
4159;"262190000080";4;"2621 90 00";10;- Las demás;4157
4160;"270021000090";2;"27";2;"CAPÍTULO 27 - COMBUSTIBLES MINERALES, ACEITES MINERALES Y PRODUCTOS DE SU DESTILACIÓN; MATERIAS BITUMINOSAS; CERAS MINERALES";3982
4161;"270100000080";3;"2701";4;"Hullas; briquetas, ovoides y combustibles sólidos similares, obtenidos de la hulla";4160
4162;"270111000010";4;"";0;- Hullas, incluso pulverizadas, pero sin aglomerar;4161
4163;"270111000080";5;"2701 11 00";10;-- Antracitas;4162
4164;"270112000080";5;"2701 12";7;-- Hulla bituminosa;4162
4165;"270112100080";6;"2701 12 10";10;--- Hulla coquizable;4164
4166;"270112900080";6;"2701 12 90";10;--- Las demás;4164
4167;"270119000080";5;"2701 19 00";10;-- Las demás hullas;4162
4168;"270120000080";4;"2701 20 00";10;- Briquetas, ovoides y combustibles sólidos similares, obtenidos de la hulla;4161
4169;"270200000080";3;"2702";4;Lignitos, incluso aglomerados, excepto el azabache;4160
4170;"270210000080";4;"2702 10 00";10;- Lignitos, incluso pulverizados, pero sin aglomerar;4169
4171;"270220000080";4;"2702 20 00";10;- Lignitos aglomerados;4169
4172;"270300000080";3;"2703 00 00";10;Turba (comprendida la utilizada para cama de animales), incluso aglomerada;4160
4173;"270400000080";3;"2704 00";7;"Coques y semicoques de hulla, lignito o turba, incluso aglomerados; carbón de retorta";4160
4174;"270400100080";4;"2704 00 10";10;- Coque y semicoque de hulla;4173
4175;"270400300080";4;"2704 00 30";10;- Coque y semicoque de lignito;4173
4176;"270400900080";4;"2704 00 90";10;- Los demás;4173
4177;"270500000080";3;"2705 00 00";10;Gas de hulla, gas de agua, gas pobre y gases similares, excepto el gas de petróleo y demás hidrocarburos gaseosos;4160
4178;"270600000080";3;"2706 00 00";10;Alquitranes de hulla, lignito o turba y demás alquitranes minerales, aunque estén deshidratados o descabezados, incluidos los alquitranes reconstituidos;4160
4179;"270700000080";3;"2707";4;"Aceites y demás productos de la destilación de los alquitranes de hulla de alta temperatura; productos análogos en los que los constituyentes aromáticos predominen en peso sobre los no aromáticos";4160
4180;"270710000080";4;"2707 10 00";10;- Benzol (benceno);4179
4181;"270720000080";4;"2707 20 00";10;- Toluol (tolueno);4179
4182;"270730000080";4;"2707 30 00";10;- Xilol (xilenos);4179
4183;"270740000080";4;"2707 40 00";10;- Naftaleno;4179
4184;"270750000080";4;"2707 50 00";10;- Las demás mezclas de hidrocarburos aromáticos que destilen, incluidas las pérdidas, una proporción superior o igual al 65 % en volumen, a 250 °C, según el método ISO 3405  (equivalente al método ASTM D 86);4179
4185;"270791000010";4;"";0;- Los demás;4179
4186;"270791000080";5;"2707 91 00";10;-- Aceites de creosota;4185
4187;"270799000080";5;"2707 99";7;-- Los demás;4185
4188;"270799110010";6;"";0;--- Aceites brutos;4187
4189;"270799110080";7;"2707 99 11";10;---- Aceites ligeros brutos, que destilen una proporción superior o igual al 90 % en volumen hasta 200 °C;4188
4190;"270799190080";7;"2707 99 19";10;---- Los demás;4188
4191;"270799200080";6;"2707 99 20";10;"--- Cabezas sulfuradas; antraceno";4187
4192;"270799500080";6;"2707 99 50";10;--- Productos básicos;4187
4193;"270799800080";6;"2707 99 80";10;--- Fenoles;4187
4194;"270799910010";6;"";0;--- Los demás;4187
4195;"270799910080";7;"2707 99 91";10;---- Que se destinen a la fabricación de productos de la partida 2803;4194
4196;"270799990080";7;"2707 99 99";10;---- Los demás;4194
4197;"270800000080";3;"2708";4;Brea y coque de brea de alquitrán de hulla o de otros alquitranes minerales;4160
4198;"270810000080";4;"2708 10 00";10;- Brea;4197
4199;"270820000080";4;"2708 20 00";10;- Coque de brea;4197
4200;"270900000080";3;"2709 00";7;Aceites crudos de petróleo o de mineral bituminoso;4160
4201;"270900100080";4;"2709 00 10";10;- Condensados de gas natural;4200
4202;"270900900080";4;"2709 00 90";10;- Los demás;4200
4203;"271000000080";3;"2710";4;"Aceites de petróleo o de mineral bituminoso, excepto los aceites crudos; preparaciones no expresadas ni comprendidas en otra parte, con un contenido de aceites de petróleo o de mineral bituminoso superior o igual al 70 % en peso, en las que estos aceites constituyan el elemento base; desechos de aceites";4160
4204;"271012000010";4;"";0;- Aceites de petróleo o de mineral bituminoso (excepto los aceites crudos) y  preparaciones no expresadas ni comprendidas en otra parte, con un contenido de aceites de petróleo o de mineral bituminoso superior o igual al 70 % en peso, en las que estos aceites constituyan el elemento base, excepto las que contengan biodiésel y los desechos de aceites;4203
4205;"271012000080";5;"2710 12";7;-- Aceites ligeros  (livianos) y preparaciones;4204
4206;"271012110080";6;"2710 12 11";10;--- Que se destinen a un tratamiento definido;4205
4207;"271012150080";6;"2710 12 15";10;--- Que se destinen a una transformación química mediante un tratamiento distinto de los definidos en la subpartida 27101211;4205
4208;"271012210010";6;"";0;--- Que se destinen a otros usos;4205
4209;"271012210020";7;"";0;---- Gasolinas especiales;4208
4210;"271012210080";8;"2710 12 21";10;----- White spirit;4209
4211;"271012250080";8;"2710 12 25";10;----- Los demás;4209
4212;"271012310010";7;"";0;---- Los demás;4208
4213;"271012310020";8;"";0;----- Gasolinas para motores;4212
4214;"271012310080";9;"2710 12 31";10;------ Gasolinas de aviación;4213
4215;"271012410010";9;"";0;------ Las demás, con un contenido de plomo;4213
4216;"271012410020";10;"";0;------- Inferior o igual a 0,013 g por l;4215
4217;"271012410080";11;"2710 12 41";10;-------- Con un octanaje (RON) inferior a 95;4216
4218;"271012450080";11;"2710 12 45";10;-------- Con un octanaje (RON) superior o igual a 95 pero inferior a 98;4216
4219;"271012490080";11;"2710 12 49";10;-------- Con un octanaje (RON) superior o igual a 98;4216
4220;"271012500080";10;"2710 12 50";10;------- Superior a 0,013 g por l;4215
4221;"271012700080";8;"2710 12 70";10;----- Carburorreactores tipo gasolina;4212
4222;"271012900080";8;"2710 12 90";10;----- Los demás aceites ligeros (livianos);4212
4223;"271019000080";5;"2710 19";7;-- Los demás;4204
4224;"271019110010";6;"";0;--- Aceites medios;4223
4225;"271019110080";7;"2710 19 11";10;---- Que se destinen a un tratamiento definido;4224
4226;"271019150080";7;"2710 19 15";10;---- Que se destinen a una transformación química mediante un tratamiento distinto de los definidos en la subpartida 27101911;4224
4227;"271019210010";7;"";0;---- Que se destinen a otros usos;4224
4228;"271019210020";8;"";0;----- Petróleo lampante;4227
4229;"271019210080";9;"2710 19 21";10;------ Carburorreactores;4228
4230;"271019250080";9;"2710 19 25";10;------ Los demás;4228
4231;"271019290080";8;"2710 19 29";10;----- Los demás;4227
4232;"271019310010";6;"";0;--- Aceites pesados;4223
4233;"271019310020";7;"";0;---- Gasóleo;4232
4234;"271019310080";8;"2710 19 31";10;----- Que se destine a un tratamiento definido;4233
4235;"271019350080";8;"2710 19 35";10;----- Que se destine a una transformación química mediante un tratamiento distinto de los definidos para la subpartida 27101931;4233
4236;"271019430010";8;"";0;----- Que se destine a otros usos;4233
4237;"271019430080";9;"2710 19 43";10;------ Con un contenido de azufre inferior o igual al 0,001 % en peso;4236
4238;"271019460080";9;"2710 19 46";10;------ Con un contenido de azufre superior al 0,001 % pero inferior o igual al 0,002 % en peso;4236
4239;"271019470080";9;"2710 19 47";10;------ Con un contenido de azufre superior al 0,002 % pero inferior o igual al 0,1 % en peso;4236
4240;"271019480080";9;"2710 19 48";10;------ Con un contenido de azufre superior al 0,1 % en peso;4236
4241;"271019510010";7;"";0;---- Fuel;4232
4242;"271019510080";8;"2710 19 51";10;----- Que se destine a un tratamiento definido;4241
4243;"271019550080";8;"2710 19 55";10;----- Que se destine a una transformación química mediante un tratamiento distinto de los definidos para la subpartida 27101951;4241
4244;"271019620010";8;"";0;----- Que se destine a otros usos;4241
4245;"271019620080";9;"2710 19 62";10;------ Con un contenido de azufre inferior o igual al 0,1 % en peso;4244
4246;"271019660080";9;"2710 19 66";10;------ Con un contenido de azufre superior al 0,1 % pero inferior o igual al 0,5 % en peso;4244
4247;"271019670080";9;"2710 19 67";10;------ Con un contenido de azufre superior al 0,5 % en peso;4244
4248;"271019710010";7;"";0;---- Aceites lubricantes y los demás;4232
4249;"271019710080";8;"2710 19 71";10;----- Que se destinen a un tratamiento definido;4248
4250;"271019750080";8;"2710 19 75";10;----- Que se destinen a una transformación química mediante un tratamiento distinto de los definidos para la subpartida 27101971;4248
4251;"271019810010";8;"";0;----- Que se destinen a otros usos;4248
4252;"271019810080";9;"2710 19 81";10;------ Aceites para motores, compresores y turbinas;4251
4253;"271019830080";9;"2710 19 83";10;------ Aceites hidráulicos;4251
4254;"271019850080";9;"2710 19 85";10;------ Aceites blancos, parafina líquida;4251
4255;"271019870080";9;"2710 19 87";10;------ Aceites para engranajes;4251
4256;"271019910080";9;"2710 19 91";10;------ Aceites para la metalurgia, aceites de desmoldeo, aceites anticorrosivos;4251
4257;"271019930080";9;"2710 19 93";10;------ Aceites para aislamiento eléctrico;4251
4258;"271019990080";9;"2710 19 99";10;------ Los demás aceites lubricantes y los demás;4251
4259;"271020000080";4;"2710 20";7;- Aceites de petróleo o de mineral bituminoso (excepto los aceites crudos) y  preparaciones no expresadas ni comprendidas en otra parte, con un contenido de aceites de petróleo o de mineral bituminoso superior o igual al 70 % en peso, en las que estos aceites constituyan el elemento base, que contengan biodiésel, excepto los desechos de aceites;4203
4260;"271020110010";5;"";0;-- Gasóleo;4259
4261;"271020110080";6;"2710 20 11";10;--- Con un contenido de azufre inferior o igual al 0,001 % en peso;4260
4262;"271020160080";6;"2710 20 16";10;--- Con un contenido de azufre superior al 0,001 % pero inferior o igual al 0,1 % en peso;4260
4263;"271020190080";6;"2710 20 19";10;--- Con un contenido de azufre superior al 0,1 % en peso;4260
4264;"271020320010";5;"";0;-- Fuel;4259
4265;"271020320080";6;"2710 20 32";10;--- Con un contenido de azufre inferior o igual al 0,5 % en peso;4264
4266;"271020380080";6;"2710 20 38";10;--- Con un contenido de azufre superior al 0,5 % en peso;4264
4267;"271020900080";5;"2710 20 90";10;-- Los demás aceites;4259
4268;"271091000010";4;"";0;- Desechos de aceites;4203
4269;"271091000080";5;"2710 91 00";10;-- Que contengan bifenilos policlorados (PCB), terfenilos policlorados (PCT) o bifenilos polibromados (PBB);4268
4270;"271099000080";5;"2710 99 00";10;-- Los demás;4268
4271;"271100000080";3;"2711";4;Gas de petróleo y demás hidrocarburos gaseosos;4160
4272;"271111000010";4;"";0;- Licuados;4271
4273;"271111000080";5;"2711 11 00";10;-- Gas natural;4272
4274;"271112000080";5;"2711 12";7;-- Propano;4272
4275;"271112110010";6;"";0;--- Propano de pureza superior o igual al 99 %;4274
4276;"271112110080";7;"2711 12 11";10;---- Que se destine a ser empleado como carburante o como combustible;4275
4277;"271112190080";7;"2711 12 19";10;---- Que se destine a otros usos;4275
4278;"271112910010";6;"";0;--- Los demás;4274
4279;"271112910080";7;"2711 12 91";10;---- Que se destinen a un tratamiento definido;4278
4280;"271112930080";7;"2711 12 93";10;---- Que se destinen a una transformación química mediante un tratamiento distinto de los definidos en la subpartida 27111291;4278
4281;"271112940010";7;"";0;---- Que se destinen a otros usos;4278
4282;"271112940080";8;"2711 12 94";10;----- De pureza superior al 90 % pero inferior al 99 %;4281
4283;"271112970080";8;"2711 12 97";10;----- Los demás;4281
4284;"271113000080";5;"2711 13";7;-- Butanos;4272
4285;"271113100080";6;"2711 13 10";10;--- Que se destinen a un tratamiento definido;4284
4286;"271113300080";6;"2711 13 30";10;--- Que se destinen a una transformación química mediante un tratamiento distinto de los definidos para la subpartida 27111310;4284
4287;"271113910010";6;"";0;--- Que se destinen a otros usos;4284
4288;"271113910080";7;"2711 13 91";10;---- De pureza superior al 90 % pero inferior al 95 %;4287
4289;"271113970080";7;"2711 13 97";10;---- Los demás;4287
4290;"271114000080";5;"2711 14 00";10;-- Etileno, propileno, butileno y butadieno;4272
4291;"271119000080";5;"2711 19 00";10;-- Los demás;4272
4292;"271121000010";4;"";0;- En estado gaseoso;4271
4293;"271121000080";5;"2711 21 00";10;-- Gas natural;4292
4294;"271129000080";5;"2711 29 00";10;-- Los demás;4292
4295;"271200000080";3;"2712";4;"Vaselina; parafina, cera de petróleo microcristalina, slack wax, ozoquerita, cera de lignito, cera de turba, demás ceras minerales y productos similares obtenidos por síntesis o por otros procedimientos, incluso coloreados";4160
4296;"271210000080";4;"2712 10";7;- Vaselina;4295
4297;"271210100080";5;"2712 10 10";10;-- En bruto;4296
4298;"271210900080";5;"2712 10 90";10;-- Las demás;4296
4299;"271220000080";4;"2712 20";7;- Parafina con un contenido de aceite inferior al 0,75 % en peso;4295
4300;"271220100080";5;"2712 20 10";10;-- Parafina sintética con un peso molecular superior o igual a 460 pero inferior o igual a 1560;4299
4301;"271220900080";5;"2712 20 90";10;-- Las demás;4299
4302;"271290000080";4;"2712 90";7;- Los demás;4295
4303;"271290110010";5;"";0;-- Ozoquerita, cera de lignito o de turba (productos naturales);4302
4304;"271290110080";6;"2712 90 11";10;--- En bruto;4303
4305;"271290190080";6;"2712 90 19";10;--- Los demás;4303
4306;"271290310010";5;"";0;-- Los demás;4302
4307;"271290310020";6;"";0;--- En bruto;4306
4308;"271290310080";7;"2712 90 31";10;---- Que se destinen a un tratamiento definido;4307
4309;"271290330080";7;"2712 90 33";10;---- Que se destinen a una transformación química mediante un tratamiento distinto de los definidos para la subpartida 27129031;4307
4310;"271290390080";7;"2712 90 39";10;---- Que se destinen a otros usos;4307
4311;"271290910010";6;"";0;--- Los demás;4306
4312;"271290910080";7;"2712 90 91";10;---- Mezcla de 1-alquenos con un contenido superior o igual al 80 % de 1-alquenos de longitud de cadena superior o igual a 24 átomos de carbono pero inferior o igual a 28 átomos de carbono;4311
4313;"271290990080";7;"2712 90 99";10;---- Los demás;4311
4314;"271300000080";3;"2713";4;Coque de petróleo, betún de petróleo y demás residuos de los aceites de petróleo o de mineral bituminoso;4160
4315;"271311000010";4;"";0;- Coque de petróleo;4314
4316;"271311000080";5;"2713 11 00";10;-- Sin calcinar;4315
4317;"271312000080";5;"2713 12 00";10;-- Calcinado;4315
4318;"271320000080";4;"2713 20 00";10;- Betún de petróleo;4314
4319;"271390000080";4;"2713 90";7;- Los demás residuos de los aceites de petróleo o de mineral bituminoso;4314
4320;"271390100080";5;"2713 90 10";10;-- Que se destinen a la fabricación de productos de la partida 2803;4319
4321;"271390900080";5;"2713 90 90";10;-- Los demás;4319
4322;"271400000080";3;"2714";4;"Betunes y asfaltos naturales; pizarras y arenas bituminosas; asfaltitas y rocas asfálticas";4160
4323;"271410000080";4;"2714 10 00";10;- Pizarras y arenas bituminosas;4322
4324;"271490000080";4;"2714 90 00";10;- Los demás;4322
4325;"271500000080";3;"2715 00 00";10;Mezclas bituminosas a base de asfalto o de betún naturales, de betún de petróleo, de alquitrán mineral o de brea de alquitrán mineral (por ejemplo: mástiques bituminosos, cut backs);4160
4326;"271600000080";3;"2716 00 00";10;Energía eléctrica (partida discrecional);4160
4327;"280011000090";1;VI;2;SECCIÓN VI - PRODUCTOS DE LAS INDUSTRIAS QUÍMICAS O DE LAS INDUSTRIAS CONEXAS;
4328;"280021000090";2;"28";2;"CAPÍTULO 28 - PRODUCTOS QUÍMICOS INORGÁNICOS; COMPUESTOS INORGÁNICOS U ORGÁNICOS DE METAL PRECIOSO, DE ELEMENTOS RADIACTIVOS, DE METALES DE LAS TIERRAS RARAS O DE ISÓTOPOS";4327
4329;"280100000010";3;"";0;I. ELEMENTOS QUÍMICOS;4328
4330;"280100000080";3;"2801";4;Flúor, cloro, bromo y yodo;4329
4331;"280110000080";4;"2801 10 00";10;- Cloro;4330
4332;"280120000080";4;"2801 20 00";10;- Yodo;4330
4333;"280130000080";4;"2801 30";7;"- Flúor; bromo";4330
4334;"280130100080";5;"2801 30 10";10;-- Flúor;4333
4335;"280130900080";5;"2801 30 90";10;-- Bromo;4333
4336;"280200000080";3;"2802 00 00";10;"Azufre sublimado o precipitado; azufre coloidal";4329
4337;"280300000080";3;"2803 00 00";10;Carbono (negros de humo y otras formas de carbono no expresadas ni comprendidas en otra parte);4329
4338;"280400000080";3;"2804";4;Hidrógeno, gases nobles y demás elementos no metálicos;4329
4339;"280410000080";4;"2804 10 00";10;- Hidrógeno;4338
4340;"280421000010";4;"";0;- Gases nobles;4338
4341;"280421000080";5;"2804 21 00";10;-- Argón;4340
4342;"280429000080";5;"2804 29";7;-- Los demás;4340
4343;"280429100080";6;"2804 29 10";10;--- Helio;4342
4344;"280429900080";6;"2804 29 90";10;--- Los demás;4342
4345;"280430000080";4;"2804 30 00";10;- Nitrógeno;4338
4346;"280440000080";4;"2804 40 00";10;- Oxígeno;4338
4347;"280450000080";4;"2804 50";7;"- Boro; telurio";4338
4348;"280450100080";5;"2804 50 10";10;-- Boro;4347
4349;"280450900080";5;"2804 50 90";10;-- Telurio;4347
4350;"280461000010";4;"";0;- Silicio;4338
4351;"280461000080";5;"2804 61 00";10;-- Con un contenido de silicio superior o igual al 99,99 % en peso;4350
4352;"280469000080";5;"2804 69 00";10;-- Los demás;4350
4353;"280470000080";4;"2804 70";7;- Fósforo;4338
4354;"280470100080";5;"2804 70 10";10;-- Fósforo rojo;4353
4355;"280470900080";5;"2804 70 90";10;-- Los demás;4353
4356;"280480000080";4;"2804 80 00";10;- Arsénico;4338
4357;"280490000080";4;"2804 90 00";10;- Selenio;4338
4358;"280500000080";3;"2805";4;"Metales alcalinos o alcalinotérreos; metales de las tierras raras, escandio e itrio, incluso mezclados o aleados entre sí; mercurio";4329
4359;"280511000010";4;"";0;- Metales alcalinos o alcalinotérreos;4358
4360;"280511000080";5;"2805 11 00";10;-- Sodio;4359
4361;"280512000080";5;"2805 12 00";10;-- Calcio;4359
4362;"280519000080";5;"2805 19";7;-- Los demás;4359
4363;"280519100080";6;"2805 19 10";10;--- Estroncio y bario;4362
4364;"280519900080";6;"2805 19 90";10;--- Los demás;4362
4365;"280530000080";4;"2805 30";7;- Metales de las tierras raras, escandio e itrio, incluso mezclados o aleados entre sí;4358
4366;"280530100080";5;"2805 30 10";10;-- Mezclados o aleados entre sí;4365
4367;"280530210010";5;"";0;-- Los demás;4365
4368;"280530210020";6;"";0;--- De pureza en peso superior o igual al 95 %;4367
4369;"280530210080";7;"2805 30 21";10;---- Cerio e lantano;4368
4370;"280530290080";7;"2805 30 29";10;---- Praseodimio, neodimio e samario;4368
4371;"280530310080";7;"2805 30 31";10;---- Gadolinio, terbio e disprosio;4368
4372;"280530390080";7;"2805 30 39";10;---- Europio, holmio, erbio, tulio, iterbio, lutecio e itrio;4368
4373;"280530400080";7;"2805 30 40";10;---- Escandio;4368
4374;"280530800080";6;"2805 30 80";10;--- Los demás;4367
4375;"280540000080";4;"2805 40";7;- Mercurio;4358
4376;"280540100080";5;"2805 40 10";10;-- Que se presenten en bombonas con un contenido neto de 34,5 kg (peso estándar) y cuyo valor fob sea inferior o igual a 224 € por bombona;4375
4377;"280540900080";5;"2805 40 90";10;-- Los demás;4375
4378;"280600000010";3;"";0;II. ÁCIDOS INORGÁNICOS Y COMPUESTOS OXIGENADOS INORGÁNICOS DE LOS ELEMENTOS NO METÁLICOS;4328
4379;"280600000080";3;"2806";4;"Cloruro de hidrógeno (ácido clorhídrico); ácido clorosulfúrico";4378
4380;"280610000080";4;"2806 10 00";10;- Cloruro de hidrógeno (ácido clorhídrico);4379
4381;"280620000080";4;"2806 20 00";10;- Ácido clorosulfúrico;4379
4382;"280700000080";3;"2807 00 00";10;"Ácido sulfúrico; óleum";4378
4383;"280800000080";3;"2808 00 00";10;"Ácido nítrico; ácidos sulfonítricos";4378
4384;"280900000080";3;"2809";4;"Pentóxido de difósforo; ácido fosfórico; ácidos polifosfóricos, aunque no sean de constitución química definida";4378
4385;"280910000080";4;"2809 10 00";10;- Pentóxido de difósforo;4384
4386;"280920000080";4;"2809 20 00";10;- Ácido fosfórico y ácidos polifosfóricos;4384
4387;"281000000080";3;"2810 00";7;"Óxidos de boro; ácidos bóricos";4378
4388;"281000100080";4;"2810 00 10";10;- Trióxido de diboro;4387
4389;"281000900080";4;"2810 00 90";10;- Los demás;4387
4390;"281100000080";3;"2811";4;Los demás ácidos inorgánicos y los demás compuestos oxigenados inorgánicos de los elementos no metálicos;4378
4391;"281111000010";4;"";0;- Los demás ácidos inorgánicos;4390
4392;"281111000080";5;"2811 11 00";10;-- Fluoruro de hidrógeno (ácido fluorhídrico);4391
4393;"281112000080";5;"2811 12 00";10;-- Cianuro de hidrógeno (ácido cianhídrico);4391
4394;"281119000080";5;"2811 19";7;-- Los demás;4391
4395;"281119100080";6;"2811 19 10";10;--- Bromuro de hidrógeno (ácido bromhídrico);4394
4396;"281119800080";6;"2811 19 80";10;--- Los demás;4394
4397;"281121000010";4;"";0;- Los demás compuestos oxigenados inorgánicos de los elementos no metálicos;4390
4398;"281121000080";5;"2811 21 00";10;-- Dióxido de carbono;4397
4399;"281122000080";5;"2811 22 00";10;-- Dióxido de silicio;4397
4400;"281129000080";5;"2811 29";7;-- Los demás;4397
4401;"281129050080";6;"2811 29 05";10;--- Dióxido de azufre;4400
4402;"281129100080";6;"2811 29 10";10;"--- Trióxido de azufre (anhídrico sulfúrico); trióxido de diarsénico (anhídrido arsenioso)";4400
4403;"281129300080";6;"2811 29 30";10;--- Óxidos de nitrógeno;4400
4404;"281129900080";6;"2811 29 90";10;--- Los demás;4400
4405;"281200000010";3;"";0;III. DERIVADOS HALOGENADOS, OXIHALOGENADOS O SULFURADOS DE LOS ELEMENTOS NO METÁLICOS;4328
4406;"281200000080";3;"2812";4;Halogenuros y oxihalogenuros de los elementos no metálicos;4405
4407;"281211000010";4;"";0;- Cloruros y oxicloruros;4406
4408;"281211000080";5;"2812 11 00";10;-- Dicloruro de carbonilo (fosgeno);4407
4409;"281212000080";5;"2812 12 00";10;-- Oxicloruro de fósforo;4407
4410;"281213000080";5;"2812 13 00";10;-- Tricloruro de fósforo;4407
4411;"281214000080";5;"2812 14 00";10;-- Pentacloruro de fósforo;4407
4412;"281215000080";5;"2812 15 00";10;-- Monocloruro de azufre;4407
4413;"281216000080";5;"2812 16 00";10;-- Dicloruro de azufre;4407
4414;"281217000080";5;"2812 17 00";10;-- Cloruro de tionilo;4407
4415;"281219000080";5;"2812 19";7;-- Los demás;4407
4416;"281219100080";6;"2812 19 10";10;--- De fósforo;4415
4417;"281219900080";6;"2812 19 90";10;--- Los demás;4415
4418;"281290000080";4;"2812 90 00";10;- Los demás;4406
4419;"281300000080";3;"2813";4;"Sulfuros de los elementos no metálicos; trisulfuro de fósforo comercial";4405
4420;"281310000080";4;"2813 10 00";10;- Disulfuro de carbono;4419
4421;"281390000080";4;"2813 90";7;- Los demás;4419
4422;"281390100080";5;"2813 90 10";10;-- Sulfuros de fósforo, incluido el triosulfuro de fósforo comercial;4421
4423;"281390900080";5;"2813 90 90";10;-- Los demás;4421
4424;"281400000010";3;"";0;IV. BASES INORGÁNICAS Y ÓXIDOS, HIDRÓXIDOS Y PERÓXIDOS DE METALES;4328
4425;"281400000080";3;"2814";4;Amoníaco anhidro o en disolución acuosa;4424
4426;"281410000080";4;"2814 10 00";10;- Amoníaco anhidro;4425
4427;"281420000080";4;"2814 20 00";10;- Amoníaco en disolución acuosa;4425
4428;"281500000080";3;"2815";4;"Hidróxido de sodio (sosa o soda cáustica); hidróxido de potasio (potasa cáustica); peróxidos de sodio o de potasio";4424
4429;"281511000010";4;"";0;- Hidróxido de sodio (sosa o soda cáustica);4428
4430;"281511000080";5;"2815 11 00";10;-- Sólido;4429
4431;"281512000080";5;"2815 12 00";10;-- En disolución acuosa (lejía de sosa o soda cáustica);4429
4432;"281520000080";4;"2815 20 00";10;- Hidróxido de potasio (potasa cáustica);4428
4433;"281530000080";4;"2815 30 00";10;- Peróxidos de sodio o de potasio;4428
4434;"281600000080";3;"2816";4;"Hidróxido y peróxido de magnesio; óxidos, hidróxidos y peróxidos, de estroncio o de bario";4424
4435;"281610000080";4;"2816 10 00";10;- Hidróxido y peróxido de magnesio;4434
4436;"281640000080";4;"2816 40 00";10;- Óxidos, hidróxidos y peróxidos, de estroncio o de bario;4434
4437;"281700000080";3;"2817 00 00";10;"Óxido de cinc; peróxido de cinc";4424
4438;"281800000080";3;"2818";4;"Corindón artificial, aunque no sea de constitución química definida; óxido de aluminio; hidróxido de aluminio";4424
4439;"281810000080";4;"2818 10";7;- Corindón artificial, aunque no sea de constitución química definida;4438
4440;"281810110010";5;"";0;-- Con un contenido de óxido de aluminio superior o igual al 98,5 % en peso;4439
4441;"281810110080";6;"2818 10 11";10;--- Con un contenido de partículas, de tamaño superior a 10 mm, inferior al 50 % del peso total;4440
4442;"281810190080";6;"2818 10 19";10;--- Con un contenido de partículas, de tamaño superior a 10 mm, superior o igual al 50 % del peso total;4440
4443;"281810910010";5;"";0;-- Con un contenido de óxido de aluminio inferior al 98,5 % en peso;4439
4444;"281810910080";6;"2818 10 91";10;--- Con un contenido de partículas, de tamaño superior a 10 mm, inferior al 50 % del peso total;4443
4445;"281810990080";6;"2818 10 99";10;--- Con un contenido de partículas, de tamaño superior a 10 mm, superior o igual al 50 % del peso total;4443
4446;"281820000080";4;"2818 20 00";10;- Óxido de aluminio, excepto el corindón artificial;4438
4447;"281830000080";4;"2818 30 00";10;- Hidróxido de aluminio;4438
4448;"281900000080";3;"2819";4;Óxidos e hidróxidos de cromo;4424
4449;"281910000080";4;"2819 10 00";10;- Trióxido de cromo;4448
4450;"281990000080";4;"2819 90";7;- Los demás;4448
4451;"281990100080";5;"2819 90 10";10;-- Dióxido de cromo;4450
4452;"281990900080";5;"2819 90 90";10;-- Los demás;4450
4453;"282000000080";3;"2820";4;Óxidos de manganeso;4424
4454;"282010000080";4;"2820 10 00";10;- Dióxido de manganeso;4453
4455;"282090000080";4;"2820 90";7;- Los demás;4453
4456;"282090100080";5;"2820 90 10";10;-- Óxido de manganeso con un contenido de manganeso superior o igual al 77 % en peso;4455
4457;"282090900080";5;"2820 90 90";10;-- Los demás;4455
4458;"282100000080";3;"2821";4;"Óxidos e hidróxidos de hierro; tierras colorantes con un contenido de hierro combinado, expresado en Fe2O3, superior o igual al 70 % en peso";4424
4459;"282110000080";4;"2821 10 00";10;- Óxidos e hidróxidos de hierro;4458
4460;"282120000080";4;"2821 20 00";10;- Tierras colorantes;4458
4461;"282200000080";3;"2822 00 00";10;"Óxidos e hidróxidos de cobalto; óxidos de cobalto comerciales";4424
4462;"282300000080";3;"2823 00 00";10;Óxidos de titanio;4424
4463;"282400000080";3;"2824";4;"Óxidos de plomo; minio y minio anaranjado";4424
4464;"282410000080";4;"2824 10 00";10;- Monóxido de plomo (litargirio, masicote);4463
4465;"282490000080";4;"2824 90 00";10;- Los demás;4463
4466;"282500000080";3;"2825";4;"Hidrazina e hidroxilamina y sus sales inorgánicas; las demás bases inorgánicas; los demás óxidos, hidróxidos y peróxidos de metales";4424
4467;"282510000080";4;"2825 10 00";10;- Hidrazina e hidroxilamina y sus sales inorgánicas;4466
4468;"282520000080";4;"2825 20 00";10;- Óxido e hidróxido de litio;4466
4469;"282530000080";4;"2825 30 00";10;- Óxidos e hidróxidos de vanadio;4466
4470;"282540000080";4;"2825 40 00";10;- Óxidos e hidróxidos de níquel;4466
4471;"282550000080";4;"2825 50 00";10;- Óxidos e hidróxidos de cobre;4466
4472;"282560000080";4;"2825 60 00";10;- Óxidos de germanio y dióxido de circonio;4466
